node_from,node_to,weight
ND.1330,GR.2029,1
ND.1331,GR.1401,1
ND.1332,GR.1402,1
ND.1333,GR.1408,1
ND.1334,PT.1405,1
ND.1334,PT.7399,1
ND.1335,PT.1406,1
ND.1336,GR.1418,1
ND.1337,GR.1418,1
ND.1337,GR.2030,1
ND.1338,ES.1433,1
ND.1339,ES.1471,1
ND.1339,ES.2289,1
ND.1339,ES.4463,1
ND.1339,ES.4465,1
ND.1339,ES.4471,1
ND.1339,ES.4474,1
ND.1339,ES.5080,1
ND.1339,ES.5081,1
ND.1339,ES.5083,1
ND.1339,ES.5087,1
ND.1339,ES.5099,1
ND.1339,ES.5101,1
ND.1339,ES.5102,1
ND.1339,ES.5103,1
ND.1339,ES.5104,1
ND.1339,ES.5105,1
ND.1339,ES.5108,1
ND.1339,ES.5110,1
ND.1339,ES.5112,1
ND.1339,ES.5113,1
ND.1339,ES.5126,1
ND.1339,ES.5127,1
ND.1339,ES.5128,1
ND.1339,ES.5132,1
ND.1339,ES.5137,1
ND.1339,ES.5142,1
ND.1339,ES.5156,1
ND.1339,ES.6501,1
ND.1339,ES.6502,1
ND.1339,ES.6503,1
ND.1339,ES.6504,1
ND.1339,ES.6509,1
ND.1339,ES.6511,1
ND.1339,ES.7420,1
ND.1339,ES.7423,1
ND.1339,ES.7424,1
ND.1339,ES.7815,1
ND.1339,ES.7823,1
ND.1339,ES.9097,1
ND.1340,GR.1438,1
ND.1340,GR.2032,1
ND.1341,ES.4472,1
ND.1341,ES.6506,1
ND.1342,ES.4279,1
ND.1342,ES.6505,1
ND.1343,ES.1451,1
ND.1343,ES.6506,1
ND.1344,ES.1453,1
ND.1345,ES.1469,1
ND.1347,GR.1552,1
ND.1348,GR.1463,1
ND.1349,GR.1464,1
ND.1352,ES.1469,1
ND.1353,ES.2289,1
ND.1353,ES.4463,1
ND.1353,ES.4465,1
ND.1353,ES.4471,1
ND.1353,ES.4474,1
ND.1353,ES.5080,1
ND.1353,ES.5081,1
ND.1353,ES.5083,1
ND.1353,ES.5087,1
ND.1353,ES.5099,1
ND.1353,ES.5101,1
ND.1353,ES.5102,1
ND.1353,ES.5103,1
ND.1353,ES.5104,1
ND.1353,ES.5105,1
ND.1353,ES.5108,1
ND.1353,ES.5110,1
ND.1353,ES.5112,1
ND.1353,ES.5113,1
ND.1353,ES.5126,1
ND.1353,ES.5127,1
ND.1353,ES.5128,1
ND.1353,ES.5132,1
ND.1353,ES.5137,1
ND.1353,ES.5142,1
ND.1353,ES.5156,1
ND.1353,ES.6501,1
ND.1353,ES.6502,1
ND.1353,ES.6503,1
ND.1353,ES.6504,1
ND.1353,ES.6509,1
ND.1353,ES.6511,1
ND.1353,ES.7420,1
ND.1353,ES.7423,1
ND.1353,ES.7424,1
ND.1353,ES.7815,1
ND.1353,ES.7823,1
ND.1353,ES.9097,1
ND.1354,ES.1473,1
ND.1354,ES.1481,1
GR.1356,ES.1481,1
GR.1356,ES.1483,1
GR.1356,ES.7427,1
PT.1357,ES.7427,1
PT.1358,IT.6119,1
PT.1358,IT.6275,1
PT.1358,IT.6281,1
PT.1358,IT.6300,1
PT.1358,IT.6314,1
PT.1358,IT.6316,1
PT.1358,SI.7564,1
PT.1358,IT.8998,1
GR.1359,ES.4496,1
GR.1359,ES.5104,1
PT.1360,GR.1494,1
PT.1360,GR.1495,1
PT.1362,GR.2819,1
GR.1363,GR.1497,1
GR.1363,GR.2819,1
GR.1374,GR.2176,1
GR.1381,GR.1804,1
GR.1381,GR.2176,1
PT.1382,CH.3050,1
PT.1382,IT.5263,1
PT.1382,IT.5281,1
PT.1382,IT.5283,1
PT.1382,IT.6073,1
PT.1382,IT.6119,1
PT.1382,IT.6214,1
PT.1382,IT.6215,1
PT.1382,IT.6275,1
PT.1382,IT.6277,1
PT.1382,IT.6280,1
PT.1382,IT.6286,1
PT.1382,IT.6287,1
PT.1382,IT.6289,1
PT.1382,IT.6290,1
PT.1382,IT.6292,1
PT.1382,IT.6294,1
PT.1382,IT.6296,1
PT.1382,IT.6297,1
PT.1382,IT.6302,1
PT.1382,IT.6303,1
PT.1382,IT.6308,1
PT.1382,IT.6312,1
PT.1382,IT.6612,1
PT.1382,IT.7436,1
PT.1382,IT.7437,1
PT.1382,CH.7694,1
PT.1382,CH.8241,1
PT.1382,IT.8997,1
PT.1385,GR.2050,1
PT.1385,GR.2058,1
PT.1386,CH.3056,1
PT.1386,CH.3058,1
PT.1386,AT.5713,1
PT.1386,AT.6444,1
PT.1387,IE.1984,1
PT.1387,IE.1986,1
PT.1388,IE.1516,1
PT.1388,IE.2023,1
GR.1389,IE.1514,1
GR.1389,IE.1517,1
PT.1390,IE.1517,1
PT.1391,IE.1516,1
PT.1392,IE.1969,1
PT.1392,IE.1973,1
PT.1393,PL.6691,1
PT.1393,PL.7510,1
