NodeID,NodeLabel,ICC,Lon,Lat,Country
DK.7800,Broendby Strand,DK,55.6208344999998,12.4224104999998,Denmark
DK.7801,Roedekro,DK,55.0696369999998,9.3329334999998,Denmark
DK.7802,Frederiksvaerk,DK,55.9674109999998,12.0184864999998,Denmark
DK.7803,Nykoebing F,DK,54.7665824999998,11.8774774999998,Denmark
DK.7804,Hinnerup,DK,56.2635954999998,10.0602894999998,Denmark
DK.7805,Middelfart,DK,55.5017204999998,9.73577799999978,Denmark
EE.7806,Narva,EE,59.3686309999998,28.1992094999998,Estonia
LU.7807,Schouweiler,LU,49.5735404999998,5.96027799999979,Luxembourg
LU.7808,Leudelange,LU,49.5869304999999,6.0582344999998,Luxembourg
BE.7809,Mollem,BE,50.9332664999998,4.21691299999981,Belgium
LV.7810,Gluda,LV,56.5996264999998,23.4949654999998,Latvia
PL.7811,Medyka,PL,49.8061924999998,22.9512454999998,Poland
PL.7812,Zebrzydowice,PL,49.8714149999999,18.6193854999998,Poland
ES.7813,Estacion FF.CC. de Tolosa,ES,43.1356009999998,-2.07919700000019,Spain
ES.7814,Estacion FF.CC. de Tarragona,ES,41.1112239999999,1.25355149999979,Spain
ES.7815,Estacion FF.CC. de Sitges,ES,41.2393659999999,1.80707649999979,Spain
ES.7816,Estacion FF.CC. de Donostia,ES,43.3172559999998,-1.97671650000021,Spain
ES.7817,Estacion FF.CC. de Badalona,ES,41.4453574999999,2.24895149999981,Spain
ES.7818,Estacion FF.CC. del Masnou,ES,41.4767369999998,2.31045749999979,Spain
ES.7819,Estacion FF.CC. de Premia de Mar,ES,41.4897949999998,2.36278349999981,Spain
ES.7820,Estacion FF.CC. de Canet de Mar,ES,41.5868684999998,2.5829869999998,Spain
ES.7821,Estacion FF.CC. de Calella,ES,41.6147999999999,2.6670329999998,Spain
ES.7822,Estacion FF.CC. de Malgrat,ES,41.6444044999999,2.74729449999981,Spain
ES.7823,Estacion FF.CC. de Alcantarilla,ES,37.9732884999999,-1.21622600000021,Spain
ES.7824,Estacion FF.CC. de Cambrils,ES,41.0690509999999,1.0506474999998,Spain
ES.7825,Estacion FF.CC. de Ferrol,ES,43.4891839999999,-8.2292320000002,Spain
LV.7826,Olaine,LV,56.7868279999999,23.9468184999998,Latvia
LV.7827,Sloka,LV,56.9473219999999,23.6186644999998,Latvia
ES.7828,Estacion FF.CC. de Sant Adria de Besos,ES,41.4243194999999,2.2306024999998,Spain
ES.7829,Estacion FF.CC. de Matikoko,ES,43.2696054999998,-2.92513700000021,Spain
ES.7830,Estacion FF.CC. de Vilagarcia de Arousa,ES,42.6020259999999,-8.76190700000018,Spain
NL.7831,Heemskerk,NL,52.4949364999999,4.6850119999998,Netherlands
PL.7832,Terespol,PL,52.0774224999999,23.6027144999998,Poland
PL.7833,Wolin,PL,53.8491299999998,14.6028674999998,Poland
NL.7834,Oosterbeek,NL,51.9954784999999,5.83801399999979,Netherlands
PL.7835,Zwardon,PL,49.5038494999998,18.9734529999998,Poland
GB.7836,Dover Priory Station,GB,51.1265849999998,1.3028764999998,United  Kingdom
PT.7837,Viana do Castelo,PT,41.6951429999999,-8.8314810000002,Portugal
GB.7838,Ramsgate Station,GB,51.3404099999999,1.40249749999981,United  Kingdom
LV.7839,Koknese,LV,56.6507489999999,25.4402019999998,Latvia
LV.7840,Cena,LV,56.7085854999998,23.8331534999998,Latvia
RO.7841,Saliste,RO,45.8074334999999,23.9000214999998,Romania
RO.7842,Silindru,RO,47.4361964999999,22.0490994999998,Romania
RO.7843,Ruginoasa,RO,47.2410684999998,26.8434959999998,Romania
GB.7844,Dalgety Bay Station,GB,56.0429014999998,-3.36579650000019,United  Kingdom
LV.7845,Bene,LV,56.4803964999998,23.0695999999998,Latvia
RO.7846,Constanta,RO,44.1688429999998,28.6315104999998,Romania
RO.7847,Campulung la Tisa,RO,47.9836229999999,23.7658754999998,Romania
LV.7848,Ciekurkalns,LV,56.9806704999998,24.1695494999998,Latvia
RO.7849,Gura Vaii,RO,44.6601209999999,22.5604279999998,Romania
LV.7850,Strenci,LV,57.6337819999998,25.6993504999998,Latvia
LV.7851,Skrunda,LV,56.6806114999998,22.0121949999998,Latvia
LV.7852,Dobele,LV,56.6292389999999,23.2845539999998,Latvia
LV.7853,Jaunolaine,LV,56.8065729999999,23.9840164999998,Latvia
